Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
6093.6478054,-0.150392713469518,0.973440583957388,-0.172614025862981,0.236598178632555,-0.988621458880578,-0.147531830625628,0.0293600345793893,0.820285395293904,0.0031141858794114,0.175065460505411,0.984551916018002,0.0901005909815846,0,0,0,1,-0.160009120033922,0.955198641018666,0.248983674834009,0.272509129048921,-0.987077975839246,-0.152629593402956,-0.0487980120808118,0.783248023496599,-0.00860951752392586,-0.253574417315383,0.967277635460107,0.31812976272744,0,0,0,1,0.16391,-14.78697,310.70868,0.08561,0.92785,-0.95829,0.58662,14.71440,418.38975,0.10700,0.71928,-0.96040,3.90614,-7.57666,-55.99028,2.33678,-3.07234,5.54202,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.6578055,-0.150392713469518,0.973440583957388,-0.172614025862981,0.236598178632555,-0.988621458880578,-0.147531830625628,0.0293600345793893,0.820285395293904,0.0031141858794114,0.175065460505411,0.984551916018002,0.0901005909815846,0,0,0,1,-0.160009120033922,0.955198641018666,0.248983674834009,0.272509129048921,-0.987077975839246,-0.152629593402956,-0.0487980120808118,0.783248023496599,-0.00860951752392586,-0.253574417315383,0.967277635460107,0.31812976272744,0,0,0,1,-0.41792,-16.00936,309.47580,0.08747,0.92083,-0.95837,-3.17269,5.81683,414.02876,0.11825,0.71956,-0.96040,3.90614,-7.57666,-55.99029,2.33678,-3.07234,5.54202,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.6678055,-0.150339737080678,0.973444270678023,-0.172639519682552,0.236546305092297,-0.988629328283747,-0.147468194358889,0.0294149183152319,0.820232333047811,0.00317494696412496,0.175098726144946,0.984545844708953,0.0901732466662941,0,0,0,1,-0.160129296920947,0.955145218292986,0.249111302310611,0.27243845972662,-0.987059729370477,-0.152775469099428,-0.0487108225127327,0.783282104995076,-0.00846781061350732,-0.253687754806085,0.967249151609018,0.318044759117055,0,0,0,1,1.43323,-16.85083,306.41486,0.07722,0.93029,-0.95827,0.09606,9.59353,410.40344,0.11157,0.72229,-0.96037,3.91480,-7.55983,-56.06587,2.33688,-3.07657,5.55120,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.6778057,-0.150250856894895,0.973455167682864,-0.172655333551673,0.236509618999803,-0.988642710819314,-0.147373275860975,0.0294407581438223,0.820197948485729,0.00321447846855116,0.175117934281058,0.984542283753753,0.0901770829225352,0,0,0,1,-0.160081721134306,0.955114818079586,0.249258244343745,0.272428136367002,-0.987067809384573,-0.152732877673924,-0.0486807137866894,0.783268400091541,-0.00842573814626529,-0.253827644063193,0.967212818191928,0.318023522803798,0,0,0,1,-0.42510,-15.70429,309.47887,0.07939,0.92478,-0.95832,-2.64203,9.20543,412.23152,0.10231,0.71862,-0.96040,3.92970,-7.54707,-56.07658,2.33663,-3.07673,5.55035,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.6878057,-0.150231846968638,0.973451219221877,-0.172694415615762,0.236475893466694,-0.988645509260355,-0.14734885206179,0.0294688929584112,0.82021005647116,0.0032402081627057,0.175160715046584,0.984534571054228,0.0901055397606374,0,0,0,1,-0.160185648648077,0.955065822270045,0.249379230768926,0.272442182097296,-0.987051591080784,-0.152847173681662,-0.0486503531321471,0.783239477532254,-0.00834737741645733,-0.253943264994214,0.967183178164669,0.318052739358506,0,0,0,1,1.48423,-19.01091,308.83466,0.08728,0.92749,-0.95830,1.33227,8.96300,415.27978,0.10829,0.71992,-0.96039,3.96211,-7.55278,-56.01464,2.33924,-3.07116,5.55059,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.6978056,-0.150072020048329,0.973480400570693,-0.172668726583071,0.236402628054305,-0.988669585286262,-0.147183380175828,0.0294870960217878,0.820146774837118,0.00329114627593025,0.175137507532537,0.984538544235929,0.0900807344752534,0,0,0,1,-0.16023452043511,0.955087714736382,0.249263933027224,0.272502023063389,-0.987043571301703,-0.152896180160076,-0.0486599395749359,0.783213093134275,-0.00836300797334155,-0.253831348235407,0.967212405276356,0.318059506992303,0,0,0,1,-0.42529,-15.69815,308.86855,0.09258,0.92910,-0.95828,-3.61053,11.41761,402.48794,0.10961,0.72047,-0.96039,3.99183,-7.52054,-56.01071,2.33616,-3.06149,5.55225,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.7078056,-0.150089424037664,0.973470559477599,-0.172709063965923,0.236402029210234,-0.988666618536291,-0.147182044236733,0.0295931629599182,0.820075535771219,0.00338840182601841,0.175193317687474,0.984528281257948,0.0900999677165373,0,0,0,1,-0.160161086084552,0.955097514311726,0.249273580177229,0.272538190595855,-0.98705615537254,-0.152845672960157,-0.0485628248265479,0.783200503227163,-0.00828183967546242,-0.253824869591107,0.967214796247989,0.31802650192026,0,0,0,1,-2.04370,-11.78033,310.12920,0.08999,0.92812,-0.95829,-2.39511,11.67776,409.81477,0.09756,0.71954,-0.96039,3.98890,-7.49312,-56.04453,2.33418,-3.06141,5.55219,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.7178057,-0.150033263905214,0.973477705306582,-0.172717718695449,0.236378126050143,-0.988675140708164,-0.147124724816578,0.0295946185140466,0.820065716619178,0.00339865752234664,0.175201896993279,0.984526736505771,0.0901002508201083,0,0,0,1,-0.16025668006864,0.955021896500423,0.249501758985706,0.272538857090721,-0.987041046388212,-0.152939432150159,-0.0485744346710346,0.783197210560164,-0.00823099082513962,-0.254052858661122,0.967155400877191,0.317972726857316,0,0,0,1,1.68919,-14.74494,310.09825,0.09097,0.92401,-0.95833,-1.04181,6.09238,421.96585,0.10633,0.72081,-0.96038,3.99537,-7.48866,-56.04915,2.33463,-3.06495,5.55568,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.7278054,-0.15004398177836,0.973473993663511,-0.172729149098367,0.236340106684283,-0.988673534040125,-0.147136684728428,0.0295882422477337,0.820064550405623,0.00338858806334449,0.175212261932171,0.984524904949187,0.0900739117046834,0,0,0,1,-0.160124590833386,0.95500083229691,0.249667173393422,0.272548199378001,-0.987064133862889,-0.152854949193246,-0.0483708591891906,0.783219075485089,-0.00803134668621608,-0.254182875465677,0.967122888951763,0.318091231668422,0,0,0,1,-1.69479,-13.62816,312.55204,0.08574,0.92679,-0.95831,-3.33136,12.55304,411.65501,0.10365,0.71824,-0.96041,4.02608,-7.48354,-56.03160,2.33730,-3.06015,5.55053,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6093.7378057,-0.14997379885758,0.97348464563499,-0.172730032028323,0.236309016126548,-0.988684074646815,-0.147062190531651,0.029606307059421,0.820035309133515,0.00341922940828296,0.17521560819191,0.984524208909969,0.0900514298915198,0,0,0,1,-0.160142534868144,0.955046629701593,0.249480393095645,0.272563339003851,-0.987060729214643,-0.152865204016158,-0.0484085028001049,0.783211262718494,-0.00809550513934107,-0.254004562712532,0.96716922149625,0.318122557557511,0,0,0,1,1.69049,-14.78790,314.37050,0.08836,0.93162,-0.95826,-5.02001,6.46368,406.10085,0.10762,0.71886,-0.96040,4.04335,-7.47062,-56.01682,2.33518,-3.05243,5.55034,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
